adr_to_common_share_ratio,asset_uid,average_daily_volume_last_10_days,average_daily_volume_last_4_weeks,beta,buy_back_ttm,currency,current_ratio_mrq,diluted_eps_ttm,dividend_payout_ratio_fy,dividend_rate_ttm,dividend_yield_daily_ttm,dividends_per_share,domicile_indicator_code,ebitda_change_five_years,ebitda_ttm,eps_change_five_years,eps_ttm,ev_to_ebitda_mrq,ev_to_sales,ex_dividend_date,fiscal_period_end_date,fiscal_period_start_date,five_year_annual_dividend_growth_rate,five_year_annual_revenue_growth_rate,five_years_average_dividend_yield,fixed_charge_coverage_ratio_fy,forward_annual_dividend_yield,free_cash_flow_to_price,free_cash_flow_ttm,free_float,high_price_last_52_weeks,low_price_last_52_weeks,market_capitalization,net_debt_to_ebitda,net_income_ttm,net_interest_margin_mrq,net_margin_mrq,number_of_employees,one_year_annual_revenue_growth_rate,pe_ratio_ttm,price_to_book_ttm,price_to_free_cash_flow_ttm,price_to_sales_ttm,revenue_change_five_years,revenue_ttm,roa,roe,roic,shares_outstanding,three_year_annual_revenue_growth_rate,total_debt_change_five_years,total_debt_mrq,total_debt_to_ebitda_mrq,total_debt_to_equity_mrq,total_enterprise_value_mrq
0.0,df9a9da8-0a95-41ca-9d03-82de3fcf872c,422347.78,276231.67,0.76,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,-12.98,-1010828126.72,-191.4,-30.89,0.0,0.0,2022-01-17T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,6.26,0.0,0.0,0.0,-23024686994.51,0.07,304.75,152.6,114539520591.9,0.0,-20685510985.53,0.0,-15.71,0.0,-14.33,0.0,0.66,-4.97,0.87,150.16,131696558095.64,-8.41,-11.09,0.0,665733918.0,1.45,0.0,0.0,0.0,0.0,0.0
0.0,14b910c1-8d9e-4af2-b104-bc77eedfe96d,472452.22,327299.17,0.0,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,97.0,19582200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165000000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,ba7b5a1b-8515-4134-8c26-b69a2372fe82,29182542.22,22045856.67,0.73,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,-5.98,497615586456.85,-99.57,10.89,6.57,0.0,2023-12-26T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,7.38,0.0,0.0,0.0,255881683829.6,0.33,173.2,98.5,2494730639040.0,1.56,166243106609.97,0.0,14.04,0.0,-5.5,15.01,2.71,9.75,2.11,32.11,1183791003331.81,7.15,19.94,0.0,15286339700.0,-4.09,53.73,1000473375000.0,0.0,108.64,3269057797040.0
0.0,c99b9966-e777-42a1-9caf-bf22842a2490,218339777.78,204233250.0,0.96,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,67.69,0.0,69.32,0.49,0.0,0.0,2021-12-16T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,6.36,0.0,0.0,0.0,0.0,0.16,2.79,1.34,102832439722.5,0.0,31108194000.0,0.0,24.04,0.0,8.11,3.31,0.5,0.0,0.79,59.76,129411747000.0,15.44,16.57,0.0,63048706145.0,13.32,0.0,0.0,0.0,0.0,0.0
0.0,e442ca19-a0d0-4bab-92c3-4a0f75d4e878,53818777.78,64880416.67,0.6,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,273.99,0.0,-78.46,0.0,0.0,0.0,2024-07-09T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,6.95,0.0,0.0,0.0,0.0,0.2,2.94,1.83,103507332658.8,0.0,0.0,0.0,0.0,0.0,24.46,0.0,0.26,0.0,0.0,18.1,0.0,0.72,0.88,0.0,39749359700.0,4.23,-82.54,0.0,0.0,0.0,0.0
0.0,460475ed-a5fc-48cd-a4e8-9f848657ba73,47091344.44,42237183.33,0.91,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-119.12,-10.08,0.0,0.0,2024-07-17T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,1.6,0.0,0.0,0.0,-112677000000.0,0.33,19.67,11.93,132919100000.0,0.0,-97288000000.0,0.0,-7.64,0.0,17.76,0.0,-16.14,-1.18,0.1,87.5,1273459000000.0,-3.57,-159.56,0.0,9650000000.0,15.35,139.74,1491363000000.0,0.0,-18105.66,1524835100000.0
0.0,6d9a99d0-73e5-4971-84d6-b90729f2400d,1677028.0,1290209.71,0.43,0.0,RUB,0.0,0.0,13.62,179.85,6.71,179.85,,212.76,579352000000.0,144.49,1320.18,7.32,0.0,2025-12-22T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,6.1,0.0,0.0,0.0,239508000000.0,0.22,2776.8,1617.0,3644754951078.6,1.03,334876000000.0,0.0,44.27,0.0,47.95,10.88,15.69,15.22,4.82,169.54,756405000000.0,30.83,225.23,0.0,1360694001.0,23.91,175.27,778728000000.0,0.0,335.25,4241529951078.6
0.0,f68ac807-85e4-45e4-af38-bd7c79f59be5,129739.44,495382.46,0.58,0.0,RUB,0.0,0.0,159.24,87.0,13.36,87.0,,0.0,0.0,208.96,54.63,0.0,0.0,2025-12-12T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,12.63,0.0,0.0,0.0,0.0,0.13,844.0,500.1,78144000000.0,0.0,6556087000.0,0.0,0.0,0.0,56.16,11.92,1.67,0.0,1.32,340.73,59014114000.0,2.38,13.2,0.0,120000000.0,43.55,0.0,0.0,0.0,0.0,0.0
0.0,35695f29-6d3c-4cba-9963-4508ddf98325,415009.56,342165.58,0.42,0.0,RUB,0.0,0.0,0.0,143.55,3.09,143.55,,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-22T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,3.39,0.0,0.0,0.0,0.0,0.0,4826.0,3206.0,1005566410384.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216413733.0,0.0,0.0,79369000000.0,0.0,-57.78,519243410384.5
0.0,6136c755-4f07-4bea-b406-e023d8e0c9af,2927277.78,3475370.83,0.7,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-33.59,-0.63,0.0,0.0,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,-563557000.0,0.0,4.8,2.86,1464312889.55,0.0,-277406000.0,0.0,-73.13,0.0,-0.09,0.0,3.06,-2.6,3.86,8.57,379329000.0,-18.1,-67.3,0.0,440394854.0,0.68,280.54,465401000.0,0.0,97.12,1903799889.55
