figi,ticker,name,issue_size,currency,uid,assetUid
TCS00A0ZZAC4,SVCB,Совкомбанк,22516228905,,1fbecbbc-ef32-448c-b4fe-b0037795ba01,7c408d19-9d14-47fe-b704-543f518be212
TCS00A107JE2,GEMC,МКПАО ЮМГ,90000000,,fbc2eb4e-997e-4654-a1b1-4055e238bd00,71b0871f-1976-4816-b704-86ba7fd621e3
BBG004S689R0,PHOR,ФосАгро,129500000,,9978b56f-782a-4a80-a4b1-a48cbecfd194,5a3d1efd-f8a0-478e-a10e-bb7f990f9c87
TCS00A106XF2,HNFG,HENDERSON,40444445,,2fa1d15e-236c-4e4e-8155-f740badfece6,dbd82e1a-bcad-4f06-98c7-e7fc10cf9065
TCS2207L1061,HHRU,HeadHunter Group PLC,50635720,,cf9ed7ef-784d-4c2c-aabe-362891fcd80c,3245edc9-0713-4b1e-8e9f-7bdd10a8d605
BBG004S68507,MAGN,Магнитогорский металлургический комбинат,11174330000,,7132b1c9-ee26-4464-b5b5-1046264b61d9,155eb875-f605-45de-ae15-70bcfb125ff0
BBG004730ZJ9,VTBR,Банк ВТБ,6620418282,,8e2b0325-0292-4654-8a18-4f63ed3b0e09,94f18cc6-9e01-4db6-9d73-8c3ba6ab9655
BBG00172J7S9,OKEY,O'Key Group SA,269074000,,2a3ac153-f5fb-4f6d-af66-38a8d2b2eacb,aabc6dd3-1485-4e60-9f75-504b29955dcf
BBG000VG1034,MRKP,Россети Центр и Приволжье,112697817043,,9a41ec6e-edf0-4863-9ec0-fb3a5c6811e2,c2b869cc-8676-4e6d-801e-ffd577bb8d98
BBG000R04X57,FLOT,Совкомфлот,2374993901,,21423d2d-9009-4d37-9325-883b368d13ae,75127af3-e54c-456f-ac0b-64dc5949a613
TCS60A0JQ9P9,SPBE,СПБ Биржа,132843907,,15dc2120-29d2-48b8-87c0-da1d95255f68,3c0a45db-07c6-49e2-b74e-3f86e4815dbf
TCS10A0JNAB6,ABIO,Артген,92645451,,cbdf1d32-5758-490e-a2b1-780eaa79bdf7,4460b582-64d3-4bb1-a894-fca260b8dd82
BBG000V07CB8,DVEC,ДЭК,17223107804,,18fb3421-7637-48f1-b5b5-20a454e1af5b,2fb15bd6-7258-4841-becc-e18b14bd1175
TCS00A107RM8,ZAYM,МФК Займер,100000000,,1a7766fb-3aa9-4b20-8817-b9b7607c0e7b,0bca9a7d-0080-4bae-ad16-dd118bfb7f06
BBG004S681W1,MTSS,МТС,1998381575,,cd8063ad-73ad-4b31-bd0d-93138d9e99a2,eb85ff63-713d-4ace-b4c8-922c9a5fc812
TCS00A109B25,OZPH,Озон Фармацевтика,1167690558,,aeb8e3c7-b547-4073-b9cd-575590e1576d,419d8670-b010-4cfb-a5a9-85832bbb0e80
BBG00475JZZ6,FEES,ФСК Россети,2113460101477,,88e130e8-5b68-4b05-b9ae-baf32f5a3f21,fe38c295-6cdf-4108-a7c8-d259721b8977
TCS00A0HG6Z8,OBNE,Обьнефтегазгеология - ао,2526406,,ffac99ad-bafa-430e-9750-e77a43176ede,1ca70caa-56a5-405d-b906-6be375ff9a1b
BBG000MZL0Y6,PMSB,Пермэнергосбыт,36210960,,4d8209f9-3b75-437d-ad5f-2906d56f27e9,b481b02b-7b2e-4270-bd9a-194969ca8cde
TCS00A10CRQ4,GLRX,ПАО Глоракс,282812500,,51be1fe4-9fe1-4626-9400-6cd1fb6286c5,6fff1a34-790f-4d18-b39f-869e1ab560b8
TCS10A0JR6A6,RBCM,РБК,365631010,,45fb6af4-9076-4268-b038-ab7f37d15ab2,79e2504b-d7f4-4c10-9b93-b26ed179b220
BBG004S687G6,MSRS,Россети Московский регион,48707091574,,019029c2-6634-4536-a980-389575e09b74,e76b3967-dfa3-49a2-aa8a-8f67a0255f3c
BBG004S68473,IRAO,Интер РАО ЕЭС,104400000000,,2dfbc1fd-b92a-436e-b011-928c79e805f2,efee0066-e7ca-4f56-a671-b22135b0e042
BBG002BCQK67,NSVZ,Наука-Связь,15701562,,88c3b1dd-cf86-48b6-b479-464ce1149472,ab6b243d-5df0-4cf0-9337-c65d3019cfde
TCS20A0J2QG8,BLNG,Белон,1150000000,,f93377cf-2944-47bb-a90f-25359d2f133c,e6736c72-6619-4dbc-ae7f-af11e55510c1
TCS03A108X38,X5,Корпоративный Центр Икс 5,271572872,,0964acd0-e2cb-4810-a177-ef4ad8856ff0,64a6b345-a926-4517-ad52-d68bbc82ceb9
BBG00475KKY8,NVTK,НОВАТЭК,3036306000,,0da66728-6c30-44c4-9264-df8fac2467ee,2d850de1-466d-443d-b7fd-e78bf41146fb
BBG002YFXL29,UNKL,ЮУНК,599737,,69e56041-ddab-4151-9832-e0a1e9f83a42,27505259-9ad1-43a8-b9ac-09385f3f2a29
BBG000W325F7,AQUA,ИНАРКТИКА,87876649,,b83ab195-dcd2-4d44-b9bf-27fa294f19a0,be8e98b7-0f54-4d63-87dd-8ea7218b848f
BBG004Z2RGW8,ROLO,Русолово,30001000000,,eb05ebd4-a216-434b-bddd-69531f120ec9,88d6ef5c-f342-4ac9-acbb-bf7167ba01fe
BBG000RK52V1,OGKB,Вторая генерирующая компания оптового рынка электроэнергии,136207331098,,3d8f2777-4a11-4713-af60-8038d11e66fa,b2d2f248-421e-4ecb-b034-6848477699bc
BBG009GSYN76,CBOM,МКБ,33429709866,,ebfda284-4291-4337-9dfb-f55610d0a907,e5008a9b-a7e2-4c45-a313-8b630b669f46
BBG002W2FT69,ABRD,АбрауДюрсо,108889117,,926fdfbf-4b07-47c9-8928-f49858ca33f2,94c05ba6-beeb-417f-b1b1-d1cc4e0c70d1
BBG004TC84Z8,TRMK,Трубная Металлургическая Компания,1052000000,,278d9ccc-4dde-484e-bf79-49ce8f733470,2b99e2d8-bc61-4e9c-a285-5e37345765fa
TCS00A0ZZBC2,SOFL,Софтлайн,400002000,,ab1f751e-15b2-4c74-802c-1b3e8638c394,94ca791d-081c-47b4-a5a5-81e612893858
BBG00475K6C3,CHMF,Северсталь,837718660,,fa6aae10-b8d5-48c8-bbfd-d320d925d096,e72889a3-21db-4b2e-90bc-045ec3d28d04
BBG004S68C39,LSRG,Группа ЛСР,103030215,,b2db7bb1-6f04-4c3c-b910-fb7fd8aab52d,a06c6407-e6ec-4d9e-852a-62621a183b2d
TCS5407L2079,SFTL,Noventiq ГДР,183492826,,c1bcbfcd-e6cd-4706-a0f7-72500ffaf3d4,c4bb2441-ce9a-4079-86ca-71e5d72ae44f
TCS00A107KX0,KLVZ,Кристалл,921052700,,e3f629fd-367b-4dbd-922c-4a4c130c70ab,d78a1e99-f964-4067-b56c-6807135516e6
BBG00R4Z2NT4,VEON-RX,VEON,1749127404,,f1374f83-7934-41f7-a210-097ed5beecd5,387e6135-7334-4d9f-9306-6d5b07f97a23
TCS002614686,NTZL,НИТЕЛ,186933778,,c09c1942-68a1-40c3-97e3-3a91ac08efe5,0b47f72d-7161-4d71-8b8f-8d0b876c978b
TCS00A107T19,YDEX,Яндекс,393959444,,7de75794-a27f-4d81-a39b-492345813822,4b449b8c-7433-479f-9cad-53aa8226a28c
BBG004S68758,BANE,Башнефть,147846489,,0a55e045-e9a6-42d2-ac55-29674634af2f,09723c69-5011-4424-b8b2-4cffbb90e9c7
BBG004S683W7,AFLT,Аэрофлот,3975771215,,1c69e020-f3b1-455c-affa-45f8b8049234,b647e8d7-46de-4f29-bb5a-a1e594063b2d
TCS50A102093,ELMT,Элемент,469725539040,,f1b89b92-51e2-4db5-89df-17c228aa41fd,a4f07002-22b7-4181-a856-003062a1914c
BBG004S68CP5,MVID,М.Видео,179768227,,cf1c6158-a303-43ac-89eb-9b1db8f96043,fe8d49a4-3321-449b-bd08-02efbac878fe
BBG004S68DD6,MSTT,Мостотрест,282215500,,3058acbe-11f6-4bcc-9a70-238e70c2c588,848d25c1-1f02-4837-be67-a2a8da668561
BBG004S68598,MTLR,Мечел,416270745,,eb4ba863-e85f-4f80-8c29-f2627938ee58,b9f09cfa-1099-4691-a981-8b1a4c0c72f3
TCS00A108GD8,IVAT,IVA Technologies,100000000,,1936e51c-d914-4171-ac66-6390a605cb5b,6bbdf1c2-3c56-4d1f-846c-106bf6a8ab82
BBG004S688G4,AKRN,Акрон,36757156,,cd3affd4-3b50-43fd-b008-518f54108d59,b01baaa2-61f7-4f85-9db7-8e4608d945a1
TCS00Y3XYV94,MDMG,Мать и дитя,75125010,,0d53d29a-3794-41c6-ba72-556d46bacb46,6321ea79-6930-45fc-9425-85c214259756
BBG0063FKTD9,LENT,Лента,115985197,,5f1e6b0a-4413-489c-b336-40b43730eaf5,7fe69b86-1095-48e9-91b9-ca7f742cc977
RU000A106T36,ASTR,Группа Астра,210000000,,aae786d8-e8f4-4428-91bb-cffa39ad01e4,f18c4667-9641-467c-9ca5-f1e0e8cd1181
